beta0,beta1,y_p
218.9,-3.652,113.5
230.8,-2.98,230.4
224.3,-2.998,184.4
224.1,-3.183,167.2
217.7,-2.674,172.1
218.1,-2.464,178
226.5,-3.717,158.9
221.1,-3.308,136.6
224.2,-3.936,144.8
224.7,-2.816,149.5
218,-3.241,212.8
215.4,-3.151,195.1
222.4,-2.972,227.1
225,-3.967,102
222,-2.156,180.9
218.9,-4.205,192.9
223.1,-3.572,163.2
228.4,-2.912,200.6
225.2,-2.963,158.8
223.1,-2.825,214.1
215.2,-3.724,168.9
217.3,-3.151,171.2
213,-3.715,152
229,-3.492,166.5
216.6,-3.159,173.6
216.9,-2.546,112.2
221.1,-2.67,188.4
214.8,-4.365,135.4
213.5,-2.787,139.1
220.6,-3.677,178.1
229.2,-2.811,163
227.3,-3.353,171
227.5,-3.787,129.5
219.2,-3.516,176.3
221.1,-2.701,183.2
214.4,-4.078,144.2
214.1,-3.491,88.83
225.2,-3.104,197
220,-3.533,154.5
224.9,-3.635,158.3
220,-3.021,164.2
221,-3.5,140.5
223.1,-3.217,169
223.6,-3.17,147.2
219.9,-2.608,140.2
221.8,-2.258,143.2
219.2,-3.449,172.9
211.4,-2.841,134.9
226.8,-2.81,210.6
221.9,-2.619,155.2
224.7,-3.388,241.3
226.6,-3.531,117.3
225,-3.14,160.2
212.5,-4.41,131.4
225.3,-2.222,163
207.7,-4.091,52.59
223.3,-3.267,76.76
230.8,-3.683,120.5
210.2,-4.145,129.8
221.9,-2.612,194.3
222.3,-2.99,168.8
214.9,-3.476,165
213.2,-3.012,127.1
221.4,-3.929,180
229.9,-3.132,150.2
214.3,-3.395,191.7
219.4,-3.314,136.1
225.2,-3.679,174.2
227.5,-3.422,159.4
226.6,-2.391,204.6
208.5,-3.052,105.4
224.9,-3.425,170.4
228.3,-3.312,179.3
213.1,-3.48,177.6
222.4,-2.106,120.8
224.4,-2.966,184.9
221.3,-2.96,169.8
214.4,-3.973,139.4
223.9,-3.731,191.4
226.2,-2.994,179.1
218.7,-3.753,145.2
224.2,-3.986,113.7
226.2,-3.698,119.6
228.5,-2.914,145.7
227.6,-3.067,157.8
224.8,-3.788,161.2
225.3,-2.585,171.1
219.2,-3.064,163
220.8,-3.918,194.9
219.7,-2.741,192.6
218.7,-3.106,176.1
219.4,-3.153,130.1
219.3,-3.781,181.1
217.4,-3.262,158.6
232.3,-2.848,199.7
228.8,-3.754,144.2
219.6,-2.598,97.77
215.9,-4.577,96.66
203.5,-3.682,115.4
217.9,-2.829,100.9
225.9,-3.987,103.4
231.7,-2.897,201.9
221.4,-2.856,153.5
215.4,-3.175,186.8
222.4,-3.559,94.49
219.7,-3.885,114.8
228.8,-2.936,169.9
229.4,-3.337,142.7
221.7,-4.047,172.1
214.4,-3.155,162.4
210.5,-3.343,111.3
217.9,-3.536,103.2
223,-4.986,122.8
225.3,-3.726,102.7
233.3,-3.964,131.5
220.3,-3.359,173.3
215.3,-2.915,160.8
225.9,-2.668,207.6
218.8,-3.964,129.4
227.9,-2.936,117.8
226.3,-2.099,168.2
225.5,-2.836,174
218.5,-3.515,127.3
218.8,-3.71,181.8
219.6,-3.531,169.2
220.3,-3.318,74.86
227.4,-3.93,149.4
216.2,-3.587,142.7
230.3,-2.997,199.6
215.4,-4.294,121.4
222.5,-2.709,171.2
217.4,-3.396,130.5
220.4,-2.973,145.8
218.2,-3.211,180.2
220.5,-3.742,132
222.2,-3.36,176.5
227.9,-3.404,192.8
218.8,-3.84,156.2
212.8,-2.646,173.4
215.7,-3.916,55.22
225.6,-2.569,182
224.5,-3.241,186.1
215.7,-3.499,135.6
214.1,-1.098,174.5
231.3,-2.725,149.9
224.4,-3.171,172.8
224,-3.938,149.1
211.7,-3.03,184.8
220.5,-3.625,130
212.6,-3.144,134.6
222.4,-2.726,244.4
223.2,-3.385,170.2
215.2,-3.302,137.7
226.5,-2.783,189.4
225.3,-3.772,166.8
215.2,-3.345,126.6
219.4,-2.801,172.3
216.2,-3.062,152.3
225.3,-3.266,167.7
231,-3.544,105.3
231.4,-4.12,174.9
220,-4.063,127.1
221.4,-3.594,167.2
222.7,-3.364,121.7
226.6,-3.927,172
222.3,-2.303,192.7
217.3,-2.932,170.8
223.6,-2.794,169.5
228.1,-3.414,111.7
221.4,-3.172,198.8
223.4,-3.521,148.7
209.6,-3.935,102.1
227.9,-2.887,183.5
224,-3.976,169.8
222.3,-4.018,91.23
214.2,-3.173,131.7
222.3,-3.089,155.2
229.1,-3.054,169.3
222.5,-3.269,175.1
217.8,-3.434,147.3
222.7,-3.631,182.8
221.9,-3.913,130.8
220.8,-3.853,155.2
215.9,-3.01,159.7
225.6,-3.653,206
219.5,-3.427,168.5
218.6,-3.508,177.5
211.6,-2.878,191.6
215.4,-2.794,98.1
227.9,-2.916,187.9
219.2,-3.113,124.5
214.8,-2.909,144.1
224.5,-3.131,191.4
226.2,-3.404,163.7
221.7,-3.159,119.3
223.3,-4.362,132
210.2,-2.631,218.5
221.9,-2.114,175.4
221.3,-3.339,155.2
218.6,-3.74,117.4
