beta0,beta1,yp
216.9,-3.228,159.2
233.8,-2.821,226.9
219.8,-3.564,147.9
218,-3.327,169
223.7,-2.802,133
223.2,-2.762,187.2
217.3,-3.645,133.4
214.5,-3.853,105.4
219,-3.522,127.5
216.2,-4.185,147.1
216.3,-4.115,140.9
210.3,-3.688,164.3
226.3,-2.967,199.5
215.5,-3.688,154.2
214,-3.235,93.29
225,-3.275,182.2
216,-3.563,186.5
217.7,-4.11,154.6
217.6,-3.407,164.2
220.3,-3.387,143.3
225.3,-3.119,101.8
224.6,-4.269,159
220.4,-2.709,179.4
215.9,-2.944,132.7
212.4,-3.581,68.31
228.9,-2.934,148.3
221.1,-4.537,168.6
227.4,-3.822,161.6
218.3,-2.655,122
224.8,-2.745,193.2
228.4,-3.534,114.5
213.1,-3.611,132.4
222.7,-3.707,139.9
220.7,-3.668,212.8
216.4,-3.049,202.7
220.4,-3.419,130.3
217.2,-3.577,138
221.1,-2.381,185.8
222.9,-2.288,196.1
211.7,-1.875,194.3
210.9,-3.037,157.7
212.9,-2.831,131.8
221.1,-2.927,168.7
213.1,-3.009,128.8
219.9,-3.465,154.7
225.9,-3.343,122.4
222.9,-3.71,205.3
226.4,-3.926,169.6
219.6,-3.448,128.2
225.4,-3.498,143.1
223.2,-3.367,155.8
214.3,-3.199,146.7
231.3,-2.695,221.2
220.3,-3.987,225.6
219.8,-3.492,123.6
225.5,-2.963,127.3
221.4,-3.565,118.5
222.5,-2.658,193.1
222.4,-2.92,168.9
221.6,-2.768,133.4
222.1,-2.865,172.9
220.6,-3.11,151.7
225.2,-2.601,160.8
224.9,-4.019,138.7
230.3,-3.226,163.7
220.1,-3.533,169.1
218.9,-3.458,126.4
226.7,-2.714,142.2
217.4,-3.958,134.7
218.2,-4.445,148.8
223.9,-2.768,189.1
222.6,-3.454,175.6
216.6,-3.456,173.8
213.6,-3.673,79.19
212.7,-3.976,172.7
217.2,-4.346,166
219,-3.122,196.6
217,-3.329,148.9
217.6,-3.158,127.1
224.4,-3.4,193.1
222.6,-3.693,131.9
216.3,-3.586,167.9
211.6,-2.241,156.9
217,-4.318,139
221.6,-3.387,175.3
218.3,-3.401,133.5
223.8,-2.984,163.4
223.7,-3.902,134.9
222.1,-3.801,164.3
222.7,-4.007,87.26
222.5,-2.9,162
220.8,-3.761,168.9
223.4,-2.924,130.2
224.9,-2.887,185.5
213.1,-3.169,141.5
226.4,-4.629,73.72
231.5,-3.797,106.5
216.2,-3.1,177.9
225.3,-3.056,206.3
225.1,-3.057,154.2
219.9,-3.087,134.1
220.7,-2.699,180.7
223,-2.817,190.3
226.3,-3.885,130.9
216.8,-4.307,119.1
226.9,-2.168,187.4
221.1,-3.402,170.7
220.3,-2.909,207
224,-2.847,138.6
229.3,-2.191,200.4
218.9,-3.425,172
226.2,-2.547,123.6
226.2,-3.478,159.4
226,-2.5,184.4
227.8,-3.167,186.5
217.7,-3.764,129.7
210.8,-3.379,143.6
218.2,-3.896,129.5
