beta0,beta1,yp
209.9,-2.584,104.1
213,-3.339,113.3
221.7,-2.752,201.2
221.6,-2.964,152.5
213.6,-3.709,188.1
218.1,-4.063,137.4
215.3,-3.063,160
219.5,-3.317,169
218.9,-3.16,130.2
221.3,-3.319,189.8
227.8,-4.405,86.67
212.3,-2.89,191
222.1,-3.125,193.5
225.8,-2.076,153
220.2,-2.868,170.3
222.6,-3.083,187.6
224.3,-4.048,155.2
216.2,-3.347,141.2
225.2,-3.262,167.8
211.3,-3.767,193.6
227.1,-3.171,227.1
217.5,-3.697,142.5
215.7,-2.871,125.8
216.2,-4.241,140
228,-3.757,158.8
216,-3.139,172.6
221.8,-3.373,115.5
226.9,-4.022,168.9
221.4,-2.372,191.4
216.5,-2.911,171.1
223.1,-2.765,169.7
208.1,-2.234,182.3
236.3,-3.47,150.8
223.1,-3.103,159.7
222.3,-3.486,141
223,-2.614,193.9
218.1,-2.89,199.4
221.5,-4.108,89.01
213.8,-3.174,131.5
221.9,-3.092,154.9
228.6,-3.056,168.7
221.9,-3.269,174.4
217.4,-3.432,146.9
222.1,-3.631,182.1
221.3,-3.911,130.4
220.4,-3.85,154.7
215.6,-3.014,159.3
225,-3.653,205.3
219,-3.426,167.9
218,-3.507,177.2
210.8,-2.875,191
214.7,-2.792,98.18
227.4,-2.92,187.4
218.6,-3.112,123.7
214.1,-2.908,143.6
224,-3.133,190.6
225.7,-3.403,163.2
221.3,-3.16,119.1
222.8,-4.354,131.6
209.4,-2.627,217.5
221.4,-2.12,174.8
220.7,-3.339,154.5
218,-3.74,116.7
215.5,-2.994,164.6
222.4,-3.525,101.3
224.2,-3.546,188.4
219.4,-3.685,118.5
216,-2.617,169.7
223,-3.228,207
216,-3.866,176.6
225.9,-3.262,142.1
219.5,-3.152,149
215.7,-3.253,180.1
228.5,-3.613,219.2
217,-3.647,194.9
216.9,-3.727,172.1
224.6,-3.614,223.2
216.5,-3.296,156.2
231.1,-3.611,105.6
214.3,-3.38,180.7
226.6,-4.162,150.2
222.2,-3.688,137.2
219,-2.829,171.5
219.2,-3.778,109.4
213.4,-3.176,156.3
215.1,-4.234,103.3
222.3,-3.304,161.6
218.4,-3.359,153.8
220.2,-3.408,146.1
205.2,-2.027,122.5
215.4,-2.769,145
